cell_idx,type,n_pre_cell,pr1,pr2,pr3,n_fol_cell,fo1,fo2,fo3,jam_den,capacity,turn_l,turn_th,turn_r,phase,demand,intersection,approach,num_lane,seg_idx,ncell2int,detect_cell,cell2lane,direction,detect_cell_0,detect_cell_1,detect_cell_2,detect_cell_3,detect_cell_4
1,5,0,0,0,0,1,2,0,0,99999.0,99999.0,0,0,0,0,0.21972222,1,1,3,0,0,,nan,nan,,,,,
2,0,1,1,0,0,1,3,0,0,8.0,6.0,0,0,0,0,0.0,1,1,3,3,12,2,"-441190747_0,-441190747_1,-441190747_2",nan,2,,,,
3,0,1,2,0,0,1,4,0,0,8.0,6.0,0,0,0,0,0.0,1,1,3,3,11,3,"-441190747_0,-441190747_1,-441190747_2",nan,3,,,,
4,0,1,3,0,0,1,5,0,0,8.0,6.0,0,0,0,0,0.0,1,1,3,3,10,4,"-441190747_0,-441190747_1,-441190747_2",nan,4,,,,
5,0,1,4,0,0,1,6,0,0,8.0,6.0,0,0,0,0,0.0,1,1,3,3,9,5,"-441190747_0,-441190747_1,-441190747_2",nan,5,,,,
6,0,1,5,0,0,1,7,0,0,8.0,6.0,0,0,0,0,0.0,1,1,3,2,8,6,"-441190747_0,-441190747_1,-441190747_2",nan,6,,,,
7,0,1,6,0,0,1,8,0,0,8.0,6.0,0,0,0,0,0.0,1,1,3,2,7,7,"-441190747_0,-441190747_1,-441190747_2",nan,7,,,,
8,0,1,7,0,0,1,9,0,0,8.0,6.0,0,0,0,0,0.0,1,1,3,2,6,8,"-441190747_0,-441190747_1,-441190747_2",nan,8,,,,
9,0,1,8,0,0,1,10,0,0,8.0,6.0,0,0,0,0,0.0,1,1,3,2,5,9,"-441190747_0,-441190747_1,-441190747_2",nan,9,,,,
10,0,1,9,0,0,1,11,0,0,8.0,6.0,0,0,0,0,0.0,1,1,3,1,4,10,"-441190747_0,-441190747_1,-441190747_2",nan,10,,,,
11,0,1,10,0,0,1,12,0,0,8.0,6.0,0,0,0,0,0.0,1,1,3,1,3,11,"-441190747_0,-441190747_1,-441190747_2",nan,11,,,,
